date,season,year,month,hour,holiday,weekday,workingday,weather_situation,casual,registered,count,days_of_week,category_days,month_name,last_purchase_date,recency
2011-01-01,spring,2011,1,0,No,Sabtu,No,Clear,3,13,16,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,1,No,Sabtu,No,Clear,8,32,40,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,2,No,Sabtu,No,Clear,5,27,32,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,3,No,Sabtu,No,Clear,3,10,13,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,4,No,Sabtu,No,Clear,0,1,1,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,5,No,Sabtu,No,Misty,0,1,1,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,6,No,Sabtu,No,Clear,2,0,2,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,7,No,Sabtu,No,Clear,1,2,3,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,8,No,Sabtu,No,Clear,1,7,8,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,9,No,Sabtu,No,Clear,8,6,14,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,10,No,Sabtu,No,Clear,12,24,36,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,11,No,Sabtu,No,Clear,26,30,56,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,12,No,Sabtu,No,Clear,29,55,84,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,13,No,Sabtu,No,Misty,47,47,94,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,14,No,Sabtu,No,Misty,35,71,106,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,15,No,Sabtu,No,Misty,40,70,110,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,16,No,Sabtu,No,Misty,41,52,93,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,17,No,Sabtu,No,Misty,15,52,67,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,18,No,Sabtu,No,Light Snow,9,26,35,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,19,No,Sabtu,No,Light Snow,6,31,37,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,20,No,Sabtu,No,Misty,11,25,36,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,21,No,Sabtu,No,Misty,3,31,34,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,22,No,Sabtu,No,Misty,11,17,28,Sabtu,weekend,Jan,2011-01-01,730
2011-01-01,spring,2011,1,23,No,Sabtu,No,Misty,15,24,39,Sabtu,weekend,Jan,2011-01-01,730
2011-01-02,spring,2011,1,0,No,Minggu,No,Misty,4,13,17,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,1,No,Minggu,No,Misty,1,16,17,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,2,No,Minggu,No,Misty,1,8,9,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,3,No,Minggu,No,Misty,2,4,6,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,4,No,Minggu,No,Misty,2,1,3,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,6,No,Minggu,No,Light Snow,0,2,2,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,7,No,Minggu,No,Misty,0,1,1,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,8,No,Minggu,No,Light Snow,0,8,8,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,9,No,Minggu,No,Misty,1,19,20,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,10,No,Minggu,No,Misty,7,46,53,Minggu,weekend,Jan,2011-01-02,729
2011-01-02,spring,2011,1,11,No,Minggu,No,Misty,16,54,70,Minggu,weekend,Jan,2011-01-02,729
